category,part_no,description,p3_qty,p3_extras,p3_total,spare,grand_total,site_ALBA,site_ALVF,site_ALVY,site_BAND,site_BENT,site_BKLY,site_BUCK,site_CAPP,site_CHEM,site_COWL,site_CPJK,site_EUGE,site_FAMT,site_FAVW,site_FORT,site_GMRS,site_GRIZ,site_HAPY,site_KEEL,site_LANE,site_LAPI,site_LNHR,site_MALN,site_MARN,site_MCLO,site_MNCR,site_MOPN,site_NBMO,site_OSTD,site_PERL,site_POAN,site_PROH,site_RDMD,site_REED,site_REST,site_SALE,site_SANT,site_SHEL,site_SOMW,site_STJO,site_SUML,site_SYCN,site_TAHK,site_WEND,site_WKMZ,extras_ALBA,extras_ALVF,extras_ALVY,extras_BAND,extras_BENT,extras_BKLY,extras_BUCK,extras_CAPP,extras_CHEM,extras_COWL,extras_CPJK,extras_EUGE,extras_FAMT,extras_FAVW,extras_FORT,extras_GMRS,extras_GRIZ,extras_HAPY,extras_KEEL,extras_LANE,extras_LAPI,extras_LNHR,extras_MALN,extras_MARN,extras_MCLO,extras_MNCR,extras_MOPN,extras_NBMO,extras_OSTD,extras_PERL,extras_POAN,extras_PROH,extras_RDMD,extras_REED,extras_REST,extras_SALE,extras_SANT,extras_SHEL,extras_SOMW,extras_STJO,extras_SUML,extras_SYCN,extras_TAHK,extras_WEND,extras_WKMZ
Cards,3HE03126AA,6 port E/M Interface Card,49,1,50,0,49,1,1,4,0,0,0,1,1,1,0,2,1,1,2,1,0,6,0,0,2,0,0,4,0,0,0,2,1,2,2,0,1,4,0,1,0,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cards,3HE06006AA,8 PORT VOICE AND TELEPROTECTION CARD,13,9,22,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cards,3HE03127AA,2P OC3/STM1 CHANNELIZED ADAPTER CARD,19,0,19,0,20,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cards,3KC48820AA,"8EC2 -EQUIPT CONTROLLER-PSS8,TEMP-HARDEN",12,0,12,1,13,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cards,3KC48870AB,POWER FILTER-30A-PSS8 (8DC30),12,0,12,1,13,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cards,3HE07938AA,4 Port OC3/STM1 - 1 Port OC12/STM4 CARD,10,2,12,1,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cards,3KC49230AB,SFDC8B - STATIC FLTR DWDM CMPCT 8CH (B),6,0,6,1,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cards,3KC70693AB,ASGLP AMPLIFIER SWITCHED GAIN EDFA LP,7,1,8,0,7,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cards,8DG62504AA,OTDR,6,0,6,1,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cards,3KC70693AA,ASG AMPLIFIER SWITCHED GAIN EDFA,6,0,6,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cards,8DG61330AA,WTOCM-F,5,0,5,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cards,3HE06794AA,8 port FXO line card (-48/+24 VDC),2,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cards,8DG59427AA,DCM - SMF 50KM,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optics,3HE12546AA,SFP - C37.94 LC 2KM SR ROHS6/6 -40/85C,635,635,1270,49,700,16,16,8,0,16,16,0,0,16,0,47,0,16,16,16,0,48,16,16,16,17,16,64,32,17,16,16,0,16,16,18,0,0,0,0,16,32,16,0,16,16,16,0,16,0,16,16,8,0,16,16,0,0,16,0,47,0,16,16,16,0,48,16,16,16,17,16,64,32,17,16,16,0,16,16,18,0,0,0,0,16,32,16,0,16,16,16,0,16,0
Optics,3HE04823AA,SFP+  10GE LR - LC ROHS6/6 0/70C,505,54,559,28,545,16,6,18,4,22,16,4,0,16,6,16,16,0,16,16,0,16,0,16,16,11,4,8,14,16,16,16,4,16,16,0,4,28,16,16,16,6,0,0,12,14,16,16,16,4,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,6,0,0,0,0,16,0,0,0
